B Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 2 5 7) --> (1 5 7 2)
B  C♯ F♯ A♯     B
G  D  F♯ A♯     Gm(maj7)
E  D  F♯ B      E
C♯ D  G  B      C♯
A♯ E  G  B      A♯
F♯ E  G  C♯     F♯
D  E  A♯ C♯     D
B  F♯ A♯ C♯     B
G  F♯ A♯ D      Gm(maj7)
E  F♯ B  D      E
C♯ G  B  D      C♯
A♯ G  B  E      A♯
F♯ G  C♯ E      F♯
D  A♯ C♯ E      D
B  A♯ C♯ F♯     B
G  A♯ D  F♯     Gm(maj7)
E  B  D  F♯     E
C♯ B  D  G      C♯
A♯ B  E  G      A♯
F♯ C♯ E  G      F♯
D  C♯ E  A♯     D
Alternate Voicing:
C♯ F♯ A♯ B      B
A♯ F♯ G  D      Gm(maj7)
F♯ E  B  D      E
D  G  B  C♯     C♯
B  G  A♯ E      A♯
G  F♯ C♯ E      F♯
E  A♯ C♯ D      D
C♯ A♯ B  F♯     B
A♯ G  D  F♯     Gm(maj7)
F♯ B  D  E      E
D  B  C♯ G      C♯
B  A♯ E  G      A♯
G  C♯ E  F♯     F♯
E  C♯ D  A♯     D
C♯ B  F♯ A♯     B
A♯ D  F♯ G      Gm(maj7)
F♯ D  E  B      E
D  C♯ G  B      C♯
B  E  G  A♯     A♯
G  E  F♯ C♯     F♯
E  D  A♯ C♯     D
-------------------------
Drop 2: (1 5 7 2) --> (1 7 2 5)
B  F♯ A♯ C♯     B
G  F♯ A♯ D      Gm(maj7)
E  F♯ B  D      E
C♯ G  B  D      C♯
A♯ G  B  E      A♯
F♯ G  C♯ E      F♯
D  A♯ C♯ E      D
B  A♯ C♯ F♯     B
G  A♯ D  F♯     Gm(maj7)
E  B  D  F♯     E
C♯ B  D  G      C♯
A♯ B  E  G      A♯
F♯ C♯ E  G      F♯
D  C♯ E  A♯     D
B  C♯ F♯ A♯     B
G  D  F♯ A♯     Gm(maj7)
E  D  F♯ B      E
C♯ D  G  B      C♯
A♯ E  G  B      A♯
F♯ E  G  C♯     F♯
D  E  A♯ C♯     D
Alternate Voicing:
F♯ A♯ C♯ B      B
