B Harmonic Minor, Cycle 6
C♯ B  G  A♯     A♯
A♯ F♯ G  E      F♯
F♯ C♯ D  E      D
-------------------------
Double drop 2 drop 3: (1 7 3 2) --> (1 2 7 3)
B  A♯ D  C♯     B
G  A♯ F♯ B      G
E  G  F♯ D      E
C♯ B  E  D      C♯
A♯ B  G  C♯     A♯
F♯ A♯ G  E      F♯
D  C♯ F♯ E      D
B  C♯ A♯ D      B
G  B  A♯ F♯     G
E  D  G  F♯     E
C♯ D  B  E      C♯
A♯ C♯ B  G      A♯
F♯ E  A♯ G      F♯
D  E  C♯ F♯     D
B  D  C♯ A♯     B
G  F♯ B  A♯     G
E  F♯ D  G      E
C♯ E  D  B      C♯
A♯ G  C♯ B      A♯
F♯ G  E  A♯     F♯
D  F♯ E  C♯     D
Alternate Voicing:
A♯ D  C♯ B      B
F♯ G  B  A♯     G
D  F♯ E  G      E
B  E  D  C♯     C♯
G  A♯ C♯ B      A♯
E  G  F♯ A♯     F♯
C♯ F♯ E  D      D
A♯ B  D  C♯     B
F♯ A♯ G  B      G
D  G  F♯ E      E
B  C♯ E  D      C♯
G  B  A♯ C♯     A♯
E  A♯ G  F♯     F♯
C♯ D  F♯ E      D
A♯ C♯ B  D      B
F♯ B  A♯ G      G
D  E  G  F♯     E
B  D  C♯ E      C♯
G  C♯ B  A♯     A♯
E  F♯ A♯ G      F♯
C♯ E  D  F♯     D
-------------------------
