B Harmonic Minor, Cycle 6
D  B  G  A♯     A♯
B  F♯ G  E      F♯
G  C♯ D  E      D
-------------------------
Double drop 2 drop 3: (1 7 4 2) --> (1 2 7 4)
B  A♯ E  C♯     B
G  A♯ F♯ C♯     G
E  A♯ F♯ D      E
C♯ B  F♯ D      C♯
A♯ B  G  D      A♯
F♯ B  G  E      F♯
D  C♯ G  E      D
B  C♯ A♯ E      B
G  C♯ A♯ F♯     G
E  D  A♯ F♯     E
C♯ D  B  F♯     C♯
A♯ D  B  G      A♯
F♯ E  B  G      F♯
D  E  C♯ G      D
B  E  C♯ A♯     B
G  F♯ C♯ A♯     G
E  F♯ D  A♯     E
C♯ F♯ D  B      C♯
A♯ G  D  B      A♯
F♯ G  E  B      F♯
D  G  E  C♯     D
Alternate Voicing:
A♯ E  C♯ B      B
F♯ G  C♯ A♯     G
D  F♯ E  A♯     E
B  F♯ D  C♯     C♯
G  A♯ D  B      A♯
E  G  F♯ B      F♯
C♯ G  E  D      D
A♯ B  E  C♯     B
F♯ A♯ G  C♯     G
D  A♯ F♯ E      E
B  C♯ F♯ D      C♯
G  B  A♯ D      A♯
E  B  G  F♯     F♯
C♯ D  G  E      D
A♯ C♯ B  E      B
F♯ C♯ A♯ G      G
D  E  A♯ F♯     E
B  D  C♯ F♯     C♯
G  D  B  A♯     A♯
E  F♯ B  G      F♯
C♯ E  D  G      D
-------------------------
