C♯ Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 2 5 7) --> (1 5 7 2)
C♯ D♯ G♯ B♯     C♯
A  E  G♯ B♯     Am(maj7)
F♯ E  G♯ C♯     F♯
D♯ E  A  C♯     D♯
B♯ F♯ A  C♯     B♯
G♯ F♯ A  D♯     G♯
E  F♯ B♯ D♯     E
C♯ G♯ B♯ D♯     C♯
A  G♯ B♯ E      Am(maj7)
F♯ G♯ C♯ E      F♯
D♯ A  C♯ E      D♯
B♯ A  C♯ F♯     B♯
G♯ A  D♯ F♯     G♯
E  B♯ D♯ F♯     E
C♯ B♯ D♯ G♯     C♯
A  B♯ E  G♯     Am(maj7)
F♯ C♯ E  G♯     F♯
D♯ C♯ E  A      D♯
B♯ C♯ F♯ A      B♯
G♯ D♯ F♯ A      G♯
E  D♯ F♯ B♯     E
Alternate Voicing:
D♯ G♯ B♯ C♯     C♯
B♯ G♯ A  E      Am(maj7)
G♯ F♯ C♯ E      F♯
E  A  C♯ D♯     D♯
C♯ A  B♯ F♯     B♯
A  G♯ D♯ F♯     G♯
F♯ B♯ D♯ E      E
D♯ B♯ C♯ G♯     C♯
B♯ A  E  G♯     Am(maj7)
G♯ C♯ E  F♯     F♯
E  C♯ D♯ A      D♯
C♯ B♯ F♯ A      B♯
A  D♯ F♯ G♯     G♯
F♯ D♯ E  B♯     E
D♯ C♯ G♯ B♯     C♯
B♯ E  G♯ A      Am(maj7)
G♯ E  F♯ C♯     F♯
E  D♯ A  C♯     D♯
C♯ F♯ A  B♯     B♯
A  F♯ G♯ D♯     G♯
F♯ E  B♯ D♯     E
-------------------------
Drop 2: (1 5 7 2) --> (1 7 2 5)
C♯ G♯ B♯ D♯     C♯
A  G♯ B♯ E      Am(maj7)
F♯ G♯ C♯ E      F♯
D♯ A  C♯ E      D♯
B♯ A  C♯ F♯     B♯
G♯ A  D♯ F♯     G♯
E  B♯ D♯ F♯     E
C♯ B♯ D♯ G♯     C♯
A  B♯ E  G♯     Am(maj7)
F♯ C♯ E  G♯     F♯
D♯ C♯ E  A      D♯
B♯ C♯ F♯ A      B♯
G♯ D♯ F♯ A      G♯
