A Harmonic Minor, Cycle 2
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
A  C  E  G♯     Am(maj7)
A  B  D  F      Bø
G♯ B  C  E      Caug(maj7)
F  A  C  D      Dm7
E  G♯ B  D      E7
E  F  A  C      FM7
D  F  G♯ B      G♯°
C  E  G♯ A      Am(maj7)
B  D  F  A      Bø
B  C  E  G♯     Caug(maj7)
A  C  D  F      Dm7
G♯ B  D  E      E7
F  A  C  E      FM7
F  G♯ B  D      G♯°
E  G♯ A  C      Am(maj7)
D  F  A  B      Bø
C  E  G♯ B      Caug(maj7)
C  D  F  A      Dm7
B  D  E  G♯     E7
A  C  E  F      FM7
G♯ B  D  F      G♯°
G♯ A  C  E      Am(maj7)
F  A  B  D      Bø
E  G♯ B  C      Caug(maj7)
D  F  A  C      Dm7
D  E  G♯ B      E7
C  E  F  A      FM7
B  D  F  G♯     G♯°
-------------------------
Drop 2: (1 5 7 3) --> (7 5 1 3)
A  E  G♯ C      Am(maj7)
A  F  B  D      Bø
C  G♯ B  E      Caug(maj7)
C  A  D  F      Dm7
E  B  D  G♯     E7
E  C  F  A      FM7
G♯ D  F  B      G♯°
G♯ E  A  C      Am(maj7)
B  F  A  D      Bø
B  G♯ C  E      Caug(maj7)
D  A  C  F      Dm7
D  B  E  G♯     E7
F  C  E  A      FM7
F  D  G♯ B      G♯°
Alternate Voicing:
E  G♯ C  A      Am(maj7)
D  A  F  B      Bø
G♯ B  E  C      Caug(maj7)
F  C  A  D      Dm7
B  D  G♯ E      E7
A  E  C  F      FM7
D  F  B  G♯     G♯°
C  G♯ E  A      Am(maj7)
F  A  D  B      Bø
E  B  G♯ C      Caug(maj7)
A  C  F  D      Dm7
G♯ D  B  E      E7
C  E  A  F      FM7
B  F  D  G♯     G♯°
-------------------------
Drop 3: (1 7 3 5) --> (7 1 3 5)
A  G♯ C  E      Am(maj7)
A  B  D  F      Bø
C  B  E  G♯     Caug(maj7)
C  D  F  A      Dm7
E  D  G♯ B      E7
E  F  A  C      FM7
G♯ F  B  D      G♯°
G♯ A  C  E      Am(maj7)
B  A  D  F      Bø
B  C  E  G♯     Caug(maj7)
D  C  F  A      Dm7
D  E  G♯ B      E7
F  E  A  C      FM7
F  G♯ B  D      G♯°
Alternate Voicing:
G♯ C  E  A      Am(maj7)
D  A  F  B      Bø
B  E  G♯ C      Caug(maj7)
F  C  A  D      Dm7
D  G♯ B  E      E7
A  E  C  F      FM7
F  B  D  G♯     G♯°
C  G♯ E  A      Am(maj7)
A  D  F  B      Bø
E  B  G♯ C      Caug(maj7)
C  F  A  D      Dm7
G♯ D  B  E      E7
E  A  C  F      FM7
B  F  D  G♯     G♯°
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
A  C  G♯ E      Am(maj7)
A  B  F  D      Bø
G♯ B  E  C      Caug(maj7)
F  A  D  C      Dm7
E  G♯ D  B      E7
E  F  C  A      FM7
D  F  B  G♯     G♯°
C  E  A  G♯     Am(maj7)
B  D  A  F      Bø
B  C  G♯ E      Caug(maj7)
A  C  F  D      Dm7
G♯ B  E  D      E7
F  A  E  C      FM7
F  G♯ D  B      G♯°
E  G♯ C  A      Am(maj7)
D  F  B  A      Bø
C  E  B  G♯     Caug(maj7)
C  D  A  F      Dm7
B  D  G♯ E      E7
A  C  F  E      FM7
G♯ B  F  D      G♯°
G♯ A  E  C      Am(maj7)
F  A  D  B      Bø
E  G♯ C  B      Caug(maj7)
D  F  C  A      Dm7
D  E  B  G♯     E7
C  E  A  F      FM7
B  D  G♯ F      G♯°
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 5 3 1)
A  E  C  G♯     Am(maj7)
A  F  D  B      Bø
C  G♯ E  B      Caug(maj7)
C  A  F  D      Dm7
E  B  G♯ D      E7
E  C  A  F      FM7
G♯ D  B  F      G♯°
G♯ E  C  A      Am(maj7)
B  F  D  A      Bø
B  G♯ E  C      Caug(maj7)
D  A  F  C      Dm7
D  B  G♯ E      E7
F  C  A  E      FM7
F  D  B  G♯     G♯°
Alternate Voicing:
E  C  G♯ A      Am(maj7)
B  D  A  F      Bø
G♯ E  B  C      Caug(maj7)
D  F  C  A      Dm7
B  G♯ D  E      E7
F  A  E  C      FM7
D  B  F  G♯     G♯°
A  C  G♯ E      Am(maj7)
F  D  A  B      Bø
C  E  B  G♯     Caug(maj7)
A  F  C  D      Dm7
E  G♯ D  B      E7
C  A  E  F      FM7
G♯ B  F  D      G♯°
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 1 5 3)
A  G♯ E  C      Am(maj7)
A  B  F  D      Bø
C  B  G♯ E      Caug(maj7)
C  D  A  F      Dm7
E  D  B  G♯     E7
E  F  C  A      FM7
G♯ F  D  B      G♯°
G♯ A  E  C      Am(maj7)
B  A  F  D      Bø
B  C  G♯ E      Caug(maj7)
D  C  A  F      Dm7
D  E  B  G♯     E7
F  E  C  A      FM7
F  G♯ D  B      G♯°
Alternate Voicing:
G♯ E  C  A      Am(maj7)
F  A  D  B      Bø
B  G♯ E  C      Caug(maj7)
A  C  F  D      Dm7
D  B  G♯ E      E7
C  E  A  F      FM7
F  D  B  G♯     G♯°
E  G♯ C  A      Am(maj7)
A  F  D  B      Bø
G♯ B  E  C      Caug(maj7)
C  A  F  D      Dm7
B  D  G♯ E      E7
E  C  A  F      FM7
D  F  B  G♯     G♯°
-------------------------
