A Harmonic Minor, Cycle 3
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
A  C  E  G♯     Am(maj7)
B  C  E  G♯     Caug(maj7)
B  D  E  G♯     E7
B  D  F  G♯     G♯°
B  D  F  A      Bø
C  D  F  A      Dm7
C  E  F  A      FM7
C  E  G♯ A      Am(maj7)
C  E  G♯ B      Caug(maj7)
D  E  G♯ B      E7
D  F  G♯ B      G♯°
D  F  A  B      Bø
D  F  A  C      Dm7
E  F  A  C      FM7
E  G♯ A  C      Am(maj7)
E  G♯ B  C      Caug(maj7)
E  G♯ B  D      E7
F  G♯ B  D      G♯°
F  A  B  D      Bø
F  A  C  D      Dm7
F  A  C  E      FM7
G♯ A  C  E      Am(maj7)
G♯ B  C  E      Caug(maj7)
G♯ B  D  E      E7
G♯ B  D  F      G♯°
A  B  D  F      Bø
A  C  D  F      Dm7
A  C  E  F      FM7
-------------------------
Drop 2: (1 5 7 3) --> (7 3 5 1)
A  E  G♯ C      Am(maj7)
B  E  G♯ C      Caug(maj7)
B  E  G♯ D      E7
B  F  G♯ D      G♯°
B  F  A  D      Bø
C  F  A  D      Dm7
C  F  A  E      FM7
C  G♯ A  E      Am(maj7)
C  G♯ B  E      Caug(maj7)
D  G♯ B  E      E7
D  G♯ B  F      G♯°
D  A  B  F      Bø
D  A  C  F      Dm7
E  A  C  F      FM7
E  A  C  G♯     Am(maj7)
E  B  C  G♯     Caug(maj7)
E  B  D  G♯     E7
F  B  D  G♯     G♯°
F  B  D  A      Bø
F  C  D  A      Dm7
F  C  E  A      FM7
G♯ C  E  A      Am(maj7)
G♯ C  E  B      Caug(maj7)
G♯ D  E  B      E7
G♯ D  F  B      G♯°
A  D  F  B      Bø
A  D  F  C      Dm7
A  E  F  C      FM7
-------------------------
Drop 3: (1 7 3 5) --> (7 5 1 3)
A  G♯ C  E      Am(maj7)
B  G♯ C  E      Caug(maj7)
B  G♯ D  E      E7
B  G♯ D  F      G♯°
B  A  D  F      Bø
C  A  D  F      Dm7
C  A  E  F      FM7
C  A  E  G♯     Am(maj7)
C  B  E  G♯     Caug(maj7)
D  B  E  G♯     E7
D  B  F  G♯     G♯°
D  B  F  A      Bø
D  C  F  A      Dm7
E  C  F  A      FM7
E  C  G♯ A      Am(maj7)
E  C  G♯ B      Caug(maj7)
E  D  G♯ B      E7
F  D  G♯ B      G♯°
F  D  A  B      Bø
F  D  A  C      Dm7
F  E  A  C      FM7
G♯ E  A  C      Am(maj7)
G♯ E  B  C      Caug(maj7)
G♯ E  B  D      E7
G♯ F  B  D      G♯°
A  F  B  D      Bø
A  F  C  D      Dm7
A  F  C  E      FM7
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
A  C  G♯ E      Am(maj7)
B  C  G♯ E      Caug(maj7)
B  D  G♯ E      E7
B  D  G♯ F      G♯°
B  D  A  F      Bø
C  D  A  F      Dm7
C  E  A  F      FM7
C  E  A  G♯     Am(maj7)
C  E  B  G♯     Caug(maj7)
D  E  B  G♯     E7
D  F  B  G♯     G♯°
D  F  B  A      Bø
D  F  C  A      Dm7
E  F  C  A      FM7
E  G♯ C  A      Am(maj7)
E  G♯ C  B      Caug(maj7)
E  G♯ D  B      E7
F  G♯ D  B      G♯°
F  A  D  B      Bø
F  A  D  C      Dm7
F  A  E  C      FM7
G♯ A  E  C      Am(maj7)
G♯ B  E  C      Caug(maj7)
G♯ B  E  D      E7
G♯ B  F  D      G♯°
A  B  F  D      Bø
A  C  F  D      Dm7
A  C  F  E      FM7
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 3 1 5)
A  E  C  G♯     Am(maj7)
B  E  C  G♯     Caug(maj7)
B  E  D  G♯     E7
B  F  D  G♯     G♯°
B  F  D  A      Bø
C  F  D  A      Dm7
C  F  E  A      FM7
C  G♯ E  A      Am(maj7)
C  G♯ E  B      Caug(maj7)
D  G♯ E  B      E7
D  G♯ F  B      G♯°
D  A  F  B      Bø
D  A  F  C      Dm7
E  A  F  C      FM7
E  A  G♯ C      Am(maj7)
E  B  G♯ C      Caug(maj7)
E  B  G♯ D      E7
F  B  G♯ D      G♯°
F  B  A  D      Bø
F  C  A  D      Dm7
F  C  A  E      FM7
G♯ C  A  E      Am(maj7)
G♯ C  B  E      Caug(maj7)
G♯ D  B  E      E7
G♯ D  B  F      G♯°
A  D  B  F      Bø
A  D  C  F      Dm7
A  E  C  F      FM7
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 5 3 1)
A  G♯ E  C      Am(maj7)
B  G♯ E  C      Caug(maj7)
B  G♯ E  D      E7
B  G♯ F  D      G♯°
B  A  F  D      Bø
C  A  F  D      Dm7
C  A  F  E      FM7
C  A  G♯ E      Am(maj7)
C  B  G♯ E      Caug(maj7)
D  B  G♯ E      E7
D  B  G♯ F      G♯°
D  B  A  F      Bø
D  C  A  F      Dm7
E  C  A  F      FM7
E  C  A  G♯     Am(maj7)
E  C  B  G♯     Caug(maj7)
E  D  B  G♯     E7
F  D  B  G♯     G♯°
F  D  B  A      Bø
F  D  C  A      Dm7
F  E  C  A      FM7
G♯ E  C  A      Am(maj7)
G♯ E  C  B      Caug(maj7)
G♯ E  D  B      E7
G♯ F  D  B      G♯°
A  F  D  B      Bø
A  F  D  C      Dm7
A  F  E  C      FM7
-------------------------
