A Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
A  C  E  G♯     Am(maj7)
A  C  E  F      FM7
A  C  D  F      Dm7
A  B  D  F      Bø
G♯ B  D  F      G♯°
G♯ B  D  E      E7
G♯ B  C  E      Caug(maj7)
G♯ A  C  E      Am(maj7)
F  A  C  E      FM7
F  A  C  D      Dm7
F  A  B  D      Bø
F  G♯ B  D      G♯°
E  G♯ B  D      E7
E  G♯ B  C      Caug(maj7)
E  G♯ A  C      Am(maj7)
E  F  A  C      FM7
D  F  A  C      Dm7
D  F  A  B      Bø
D  F  G♯ B      G♯°
D  E  G♯ B      E7
C  E  G♯ B      Caug(maj7)
C  E  G♯ A      Am(maj7)
C  E  F  A      FM7
C  D  F  A      Dm7
B  D  F  A      Bø
B  D  F  G♯     G♯°
B  D  E  G♯     E7
B  C  E  G♯     Caug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
A  E  G♯ C      Am(maj7)
A  E  F  C      FM7
A  D  F  C      Dm7
A  D  F  B      Bø
G♯ D  F  B      G♯°
G♯ D  E  B      E7
G♯ C  E  B      Caug(maj7)
G♯ C  E  A      Am(maj7)
F  C  E  A      FM7
F  C  D  A      Dm7
F  B  D  A      Bø
F  B  D  G♯     G♯°
E  B  D  G♯     E7
E  B  C  G♯     Caug(maj7)
E  A  C  G♯     Am(maj7)
E  A  C  F      FM7
D  A  C  F      Dm7
D  A  B  F      Bø
D  G♯ B  F      G♯°
D  G♯ B  E      E7
C  G♯ B  E      Caug(maj7)
C  G♯ A  E      Am(maj7)
C  F  A  E      FM7
C  F  A  D      Dm7
B  F  A  D      Bø
B  F  G♯ D      G♯°
B  E  G♯ D      E7
B  E  G♯ C      Caug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
A  G♯ C  E      Am(maj7)
A  F  C  E      FM7
A  F  C  D      Dm7
A  F  B  D      Bø
G♯ F  B  D      G♯°
G♯ E  B  D      E7
G♯ E  B  C      Caug(maj7)
G♯ E  A  C      Am(maj7)
F  E  A  C      FM7
F  D  A  C      Dm7
F  D  A  B      Bø
F  D  G♯ B      G♯°
E  D  G♯ B      E7
E  C  G♯ B      Caug(maj7)
E  C  G♯ A      Am(maj7)
E  C  F  A      FM7
D  C  F  A      Dm7
D  B  F  A      Bø
D  B  F  G♯     G♯°
D  B  E  G♯     E7
C  B  E  G♯     Caug(maj7)
C  A  E  G♯     Am(maj7)
C  A  E  F      FM7
C  A  D  F      Dm7
B  A  D  F      Bø
B  G♯ D  F      G♯°
B  G♯ D  E      E7
B  G♯ C  E      Caug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
A  C  G♯ E      Am(maj7)
A  C  F  E      FM7
A  C  F  D      Dm7
A  B  F  D      Bø
G♯ B  F  D      G♯°
G♯ B  E  D      E7
G♯ B  E  C      Caug(maj7)
G♯ A  E  C      Am(maj7)
F  A  E  C      FM7
F  A  D  C      Dm7
F  A  D  B      Bø
F  G♯ D  B      G♯°
E  G♯ D  B      E7
E  G♯ C  B      Caug(maj7)
E  G♯ C  A      Am(maj7)
E  F  C  A      FM7
D  F  C  A      Dm7
D  F  B  A      Bø
D  F  B  G♯     G♯°
D  E  B  G♯     E7
C  E  B  G♯     Caug(maj7)
C  E  A  G♯     Am(maj7)
C  E  A  F      FM7
C  D  A  F      Dm7
B  D  A  F      Bø
B  D  G♯ F      G♯°
B  D  G♯ E      E7
B  C  G♯ E      Caug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
A  E  C  G♯     Am(maj7)
A  E  C  F      FM7
A  D  C  F      Dm7
A  D  B  F      Bø
G♯ D  B  F      G♯°
G♯ D  B  E      E7
G♯ C  B  E      Caug(maj7)
G♯ C  A  E      Am(maj7)
F  C  A  E      FM7
F  C  A  D      Dm7
F  B  A  D      Bø
F  B  G♯ D      G♯°
E  B  G♯ D      E7
E  B  G♯ C      Caug(maj7)
E  A  G♯ C      Am(maj7)
E  A  F  C      FM7
D  A  F  C      Dm7
D  A  F  B      Bø
D  G♯ F  B      G♯°
D  G♯ E  B      E7
C  G♯ E  B      Caug(maj7)
C  G♯ E  A      Am(maj7)
C  F  E  A      FM7
C  F  D  A      Dm7
B  F  D  A      Bø
B  F  D  G♯     G♯°
B  E  D  G♯     E7
B  E  C  G♯     Caug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
A  G♯ E  C      Am(maj7)
A  F  E  C      FM7
A  F  D  C      Dm7
A  F  D  B      Bø
G♯ F  D  B      G♯°
G♯ E  D  B      E7
G♯ E  C  B      Caug(maj7)
G♯ E  C  A      Am(maj7)
F  E  C  A      FM7
F  D  C  A      Dm7
F  D  B  A      Bø
F  D  B  G♯     G♯°
E  D  B  G♯     E7
E  C  B  G♯     Caug(maj7)
E  C  A  G♯     Am(maj7)
E  C  A  F      FM7
D  C  A  F      Dm7
D  B  A  F      Bø
D  B  G♯ F      G♯°
D  B  G♯ E      E7
C  B  G♯ E      Caug(maj7)
C  A  G♯ E      Am(maj7)
C  A  F  E      FM7
C  A  F  D      Dm7
B  A  F  D      Bø
B  G♯ F  D      G♯°
B  G♯ E  D      E7
B  G♯ E  C      Caug(maj7)
-------------------------
